L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,1,0.0,0.07237899934777976,0,1,1,101111111100,3,true,5.0,0.9893660153668052,7.094826402745321e-16,0.9815372201285191,7.516346129513266e-16,12.0,0.75
12,9,1,4,0.0,0.07237899934777976,0,1,1,101111111100,3,false,5.0,0.9933854649396406,2.721962386473686e-16,0.9885489062987054,2.2186960893084936e-16,12.0,0.75
12,9,1,4,0.0,0.07237899934777976,0,1,1,101111111100,3,true,5.0,0.9894865508963576,7.493188235650009e-16,0.9818712284381473,7.996212197127028e-16,12.0,0.75
12,9,1,16,0.0,0.07939135553453969,0,1,1,101111111100,3,false,5.0,0.9932207372458876,9.090362687007232e-16,0.9877126902327134,9.304056328618437e-16,12.0,0.75
12,9,1,16,0.0,0.07939135553453969,0,1,1,101111111100,3,true,5.0,0.9907241774277838,1.585139243760371e-15,0.9848844820029868,1.5749170777059222e-15,12.0,0.75
12,9,1,1,0.0,0.07939135553453969,0,1,1,101111111100,3,false,5.0,0.9927184670750554,3.959167117471537e-16,0.9861469805076731,3.798763689359703e-16,12.0,0.75
12,9,1,1,0.0,0.07939135553453969,0,1,1,101111111100,3,true,5.0,0.9883467446304766,7.14377115997988e-16,0.9778262014642222,7.730342623827625e-16,12.0,0.75
12,9,1,4,0.0,0.07939135553453969,0,1,1,101111111100,3,false,5.0,0.9927568632528754,3.038009039808139e-16,0.9862686644414128,2.6428648666179155e-16,12.0,0.75
12,9,1,4,0.0,0.07939135553453969,0,1,1,101111111100,3,true,5.0,0.9884991470985597,7.488704529997675e-16,0.9783075229235102,8.069360806600575e-16,12.0,0.75
12,9,1,16,0.0,0.08708309579310353,0,1,1,101111111100,3,false,5.0,0.9925480717815354,9.06673882907276e-16,0.9856050626261322,8.890435227832227e-16,12.0,0.75
12,9,1,16,0.0,0.08708309579310353,0,1,1,101111111100,3,true,5.0,0.9900549589698538,1.5892970191680532e-15,0.9831475285655755,1.6231847565763309e-15,12.0,0.75
12,9,1,1,0.0,0.08708309579310353,0,1,1,101111111100,3,false,5.0,0.9918927478428294,3.8759938665690465e-16,0.9833699731607066,3.649266533968588e-16,12.0,0.75
12,9,1,1,0.0,0.08708309579310353,0,1,1,101111111100,3,true,5.0,0.9870246913310047,7.186749248650858e-16,0.9733789362735501,7.594902559590602e-16,12.0,0.75
12,9,1,4,0.0,0.08708309579310353,0,1,1,101111111100,3,false,5.0,0.9919432618479606,2.3723036958682063e-16,0.9835455629879831,2.5782961726707724e-16,12.0,0.75
12,9,1,4,0.0,0.08708309579310353,0,1,1,101111111100,3,true,5.0,0.9872248401318042,7.506521234313346e-16,0.9740719054178183,7.799005413673592e-16,12.0,0.75
12,9,1,16,0.0,0.09552004146864093,0,1,1,101111111100,3,false,5.0,0.9917247774849528,9.02672635246843e-16,0.9832270321097693,8.902897334304466e-16,12.0,0.75
12,9,1,16,0.0,0.09552004146864093,0,1,1,101111111100,3,true,5.0,0.9892953133494448,1.5854968877852182e-15,0.9814545265440053,1.5240647904960374e-15,12.0,0.75
12,9,1,1,0.0,0.09552004146864093,0,1,1,101111111100,3,false,5.0,0.9908463100534003,3.800422017410845e-16,0.9800453584101184,3.9333136625422334e-16,12.0,0.75
12,9,1,1,0.0,0.09552004146864093,0,1,1,101111111100,3,true,5.0,0.9853490472361612,7.172802320848552e-16,0.96805365612685,7.176764795321086e-16,12.0,0.75
12,9,1,4,0.0,0.09552004146864093,0,1,1,101111111100,3,false,5.0,0.9909147277297178,2.5017132782705925e-16,0.9802985712923141,3.1971203047834647e-16,12.0,0.75
12,9,1,4,0.0,0.09552004146864093,0,1,1,101111111100,3,true,5.0,0.9856195419637026,7.554204071427774e-16,0.9690502360175199,8.030462482886861e-16,12.0,0.75
12,9,1,16,0.0,0.10477439093171807,0,1,1,101111111100,3,false,5.0,0.9907406686201968,9.080276765807521e-16,0.980583053549955,9.220806897144344e-16,12.0,0.75
12,9,1,16,0.0,0.10477439093171807,0,1,1,101111111100,3,true,5.0,0.9884633400682816,1.5878872537957018e-15,0.9798760133594141,1.6413258507999274e-15,12.0,0.75
12,9,1,1,0.0,0.10477439093171807,0,1,1,101111111100,3,false,5.0,0.9895411000095504,3.9682478128992276e-16,0.9760691949328021,3.6127415121918235e-16,12.0,0.75
12,9,1,1,0.0,0.10477439093171807,0,1,1,101111111100,3,true,5.0,0.9832587279044875,7.195367442943586e-16,0.9616832092750297,7.540506106643505e-16,12.0,0.75
12,9,1,4,0.0,0.10477439093171807,0,1,1,101111111100,3,false,5.0,0.989635702086527,3.003980253870819e-16,0.9764340629043254,2.821145258173816e-16,12.0,0.75
12,9,1,4,0.0,0.10477439093171807,0,1,1,101111111100,3,true,5.0,0.9836317528860291,7.482943645166847e-16,0.9631145143823601,7.420372187867814e-16,12.0,0.75
12,9,1,16,0.0,0.11492533740907598,0,1,1,101111111100,3,false,5.0,0.9895886135780735,9.074985284192193e-16,0.9776975189271938,9.185986621006384e-16,12.0,0.75
12,9,1,16,0.0,0.11492533740907598,0,1,1,101111111100,3,true,5.0,0.987580496903733,1.583799283867896e-15,0.9784681096933288,1.5467987983502272e-15,12.0,0.75
12,9,1,1,0.0,0.11492533740907598,0,1,1,101111111100,3,false,5.0,0.9879316615785821,3.8185369814550926e-16,0.971319621339454,4.1115781306181195e-16,12.0,0.75
12,9,1,1,0.0,0.11492533740907598,0,1,1,101111111100,3,true,5.0,0.980680713123737,7.199323492317811e-16,0.9540713788051445,7.159293911674913e-16,12.0,0.75
12,9,1,4,0.0,0.11492533740907598,0,1,1,101111111100,3,false,5.0,0.9880643028298224,3.068617499579129e-16,0.9718448891624326,2.681158326167268e-16,12.0,0.75
12,9,1,4,0.0,0.11492533740907598,0,1,1,101111111100,3,true,5.0,0.9812020691078803,7.527102867578978e-16,0.9561237536444109,7.817366743288963e-16,12.0,0.75
12,9,1,16,0.0,0.12605974667223366,0,1,1,101111111100,3,false,5.0,0.9882667109645481,9.068131011272436e-16,0.9746225112328504,9.17246002313154e-16,12.0,0.75
12,9,1,16,0.0,0.12605974667223366,0,1,1,101111111100,3,true,5.0,0.9866671266138465,1.5767498836571257e-15,0.9772396494784437,1.5055967994920488e-15,12.0,0.75
12,9,1,1,0.0,0.12605974667223366,0,1,1,101111111100,3,false,5.0,0.9859640071789997,3.939168491622476e-16,0.9656545915259539,4.135242702500762e-16,12.0,0.75
12,9,1,1,0.0,0.12605974667223366,0,1,1,101111111100,3,true,5.0,0.9775281974672659,7.172290874360591e-16,0.9449890733032056,6.969628447645175e-16,12.0,0.75
12,9,1,4,0.0,0.12605974667223366,0,1,1,101111111100,3,false,5.0,0.9861516486093386,2.7546381136554643e-16,0.9664099248734792,2.555409027947606e-16,12.0,0.75
12,9,1,4,0.0,0.12605974667223366,0,1,1,101111111100,3,true,5.0,0.9782629426937706,7.601742519929199e-16,0.947926344959121,7.674758128426786e-16,12.0,0.75
12,9,1,16,0.0,0.13827290038317316,0,1,1,101111111100,3,false,5.0,0.9867809964356599,9.06676857879069e-16,0.9714459894774568,9.103589352582514e-16,12.0,0.75
12,9,1,16,0.0,0.13827290038317316,0,1,1,101111111100,3,true,5.0,0.9857341118229266,1.5726038734750972e-15,0.9761038712668484,1.5297716437550565e-15,12.0,0.75
12,9,1,1,0.0,0.13827290038317316,0,1,1,101111111100,3,false,5.0,0.983574398710482,3.899151301198352e-16,0.9589097260700886,4.0529569256185595e-16,12.0,0.75
12,9,1,1,0.0,0.13827290038317316,0,1,1,101111111100,3,true,5.0,0.9736985762149973,7.175365021120392e-16,0.9341706134678119,7.295405818621479e-16,12.0,0.75
12,9,1,4,0.0,0.13827290038317316,0,1,1,101111111100,3,false,5.0,0.9838412742745977,2.421748646493051e-16,0.9599944276493297,2.581328280012421e-16,12.0,0.75
12,9,1,4,0.0,0.13827290038317316,0,1,1,101111111100,3,true,5.0,0.9747388617212535,7.47679015312443e-16,0.9383645750167237,7.615565521144027e-16,12.0,0.75
12,9,1,16,0.0,0.15166931145821688,0,1,1,101111111100,3,false,5.0,0.9851485146131499,9.090139547417317e-16,0.9682986288372343,9.013774726054245e-16,12.0,0.75
12,9,1,16,0.0,0.15166931145821688,0,1,1,101111111100,3,true,5.0,0.9847700443922844,1.5672214829108644e-15,0.9748192897421569,1.5374233179138915e-15,12.0,0.75
12,9,1,1,0.0,0.15166931145821688,0,1,1,101111111100,3,false,5.0,0.9806880789643034,3.8229874001136744e-16,0.950896532519399,4.0982153152161614e-16,12.0,0.75
12,9,1,1,0.0,0.15166931145821688,0,1,1,101111111100,3,true,5.0,0.9690713214958038,7.179362149088803e-16,0.921310475157897,7.33457344495664e-16,12.0,0.75
12,9,1,4,0.0,0.15166931145821688,0,1,1,101111111100,3,false,5.0,0.9810687445339553,2.4048311421947247e-16,0.952451697289719,2.4586724005917063e-16,12.0,0.75
