numsamples,filling,L,N,J,V,W,ts,unconstrained,energy,avrgtimeavrgcorr
20,0.75,12,9,1,4,0.0,0.07237899934777976,false,5.0,0.9933854649396399
20,0.75,12,9,1,4,0.0,0.07237899934777976,false,2.0,0.9973672909491735
20,0.75,12,9,1,4,0.0,0.07237899934777976,false,0.0,1.0000000000000007
20,0.75,12,9,1,16,1.0,0.07237899934777976,false,4.0,0.9951919915223425
20,0.75,12,9,1,16,1.0,0.07237899934777976,false,5.0,0.993755326698056
20,0.75,12,9,1,16,1.0,0.07237899934777976,false,2.0,0.9979550766560585
20,0.75,12,9,1,16,1.0,0.07237899934777976,false,0.0,0.9999999999999997
20,0.75,12,9,1,1,1.0,0.07237899934777976,false,4.0,0.9946808484011427
20,0.75,12,9,1,1,1.0,0.07237899934777976,false,5.0,0.9933562605790748
20,0.75,12,9,1,1,1.0,0.07237899934777976,false,2.0,0.9973330643678315
20,0.75,12,9,1,1,1.0,0.07237899934777976,false,0.0,1.0
20,0.75,12,9,1,4,1.0,0.07237899934777976,false,4.0,0.9947163938437567
20,0.75,12,9,1,4,1.0,0.07237899934777976,false,5.0,0.9933865745335353
20,0.75,12,9,1,4,1.0,0.07237899934777976,false,2.0,0.9973677170054978
20,0.75,12,9,1,4,1.0,0.07237899934777976,false,0.0,1.0000000000000002
20,0.75,12,9,1,16,20.0,0.07237899934777976,false,4.0,0.9954496063361622
20,0.75,12,9,1,16,20.0,0.07237899934777976,false,5.0,0.9941092083042589
20,0.75,12,9,1,16,20.0,0.07237899934777976,false,2.0,0.9980252968670582
20,0.75,12,9,1,16,20.0,0.07237899934777976,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,20.0,0.07237899934777976,false,4.0,0.9950150440036054
20,0.75,12,9,1,1,20.0,0.07237899934777976,false,5.0,0.9937726112789915
20,0.75,12,9,1,1,20.0,0.07237899934777976,false,2.0,0.9974968535519317
20,0.75,12,9,1,1,20.0,0.07237899934777976,false,0.0,1.0000000000000004
20,0.75,12,9,1,4,20.0,0.07237899934777976,false,4.0,0.9950450730923469
20,0.75,12,9,1,4,20.0,0.07237899934777976,false,5.0,0.9937982547418219
20,0.75,12,9,1,4,20.0,0.07237899934777976,false,2.0,0.9975258657929912
20,0.75,12,9,1,4,20.0,0.07237899934777976,false,0.0,1.0000000000000007
20,0.75,12,9,1,16,0.0,0.07939135553453969,false,4.0,0.9948030714782499
20,0.75,12,9,1,16,0.0,0.07939135553453969,false,5.0,0.9932207372458871
20,0.75,12,9,1,16,0.0,0.07939135553453969,false,2.0,0.9978460433284202
20,0.75,12,9,1,16,0.0,0.07939135553453969,false,0.0,1.0000000000000002
20,0.75,12,9,1,1,0.0,0.07939135553453969,false,4.0,0.9941694999126588
20,0.75,12,9,1,1,0.0,0.07939135553453969,false,5.0,0.9927184670750548
20,0.75,12,9,1,1,0.0,0.07939135553453969,false,2.0,0.9970754320845379
