L,N,J,V,W,unconstrained,avrgdistance,stddistance,numsamples,filling
16,12,1,0.17782794100389226,112.46826503806982,false,0.023855574457437148,0.0008852477168856468,20,0.75
16,12,1,0.17782794100389226,112.46826503806982,true,0.0717382608685612,0.0023142636373694905,20,0.75
16,12,1,0.1,112.46826503806982,false,0.02385148086498172,0.0009056875972693227,20,0.75
16,12,1,0.1,112.46826503806982,true,0.07046222857390574,0.002341866476427493,20,0.75
16,12,1,0.31622776601683794,112.46826503806982,false,0.024111342578323036,0.0008729312380091546,20,0.75
16,12,1,0.31622776601683794,112.46826503806982,true,0.07212219119552697,0.0022663910745081704,20,0.75
16,12,1,0.5623413251903491,112.46826503806982,false,0.024163069875165935,0.0008568553637932815,20,0.75
16,12,1,0.5623413251903491,112.46826503806982,true,0.0728180399983251,0.002232594441844525,20,0.75
16,12,1,1.0,112.46826503806982,false,0.024595996441910226,0.0008148970597091385,20,0.75
16,12,1,1.0,112.46826503806982,true,0.07235324226319392,0.0021282221847875706,20,0.75
16,12,1,1.7782794100389228,112.46826503806982,false,0.023620478183058558,0.0007451015986050601,20,0.75
16,12,1,1.7782794100389228,112.46826503806982,true,0.07434429999798708,0.002098882096581381,20,0.75
16,12,1,10.0,112.46826503806982,false,0.020800776914174698,0.0004184651381996301,20,0.75
16,12,1,10.0,112.46826503806982,true,0.07879144315986958,0.0021293188191382896,20,0.75
16,12,1,100.0,112.46826503806982,false,0.012069780240141072,0.0002179740732698468,20,0.75
16,12,1,100.0,112.46826503806982,true,0.04524849266982757,0.0015564190051742335,20,0.75
16,12,1,17.78279410038923,112.46826503806982,false,0.018974611858107258,0.0005226972240389277,20,0.75
16,12,1,17.78279410038923,112.46826503806982,true,0.06742341303677808,0.0018039835915402266,20,0.75
16,12,1,3.1622776601683795,112.46826503806982,false,0.024423755989393343,0.0006446187598457739,20,0.75
16,12,1,3.1622776601683795,112.46826503806982,true,0.0770817524479962,0.0020601985930738718,20,0.75
16,12,1,31.622776601683793,112.46826503806982,false,0.017429224510108844,0.0003408213604988801,20,0.75
16,12,1,31.622776601683793,112.46826503806982,true,0.07206274292916412,0.0017156207295239943,20,0.75
16,12,1,5.623413251903491,112.46826503806982,false,0.02466043219800166,0.0005451925719146907,20,0.75
16,12,1,5.623413251903491,112.46826503806982,true,0.07348826772226107,0.0017657872108553182,20,0.75
16,12,1,56.23413251903491,112.46826503806982,false,0.012844566733197896,0.000290499890848658,20,0.75
16,12,1,56.23413251903491,112.46826503806982,true,0.05720807447731463,0.0016917990037164147,20,0.75
16,12,1,0.17782794100389226,2.0,false,0.783579921747396,0.0017458415502275251,20,0.75
16,12,1,0.17782794100389226,2.0,true,0.997587246325797,0.00010146826247613424,20,0.75
16,12,1,0.1,2.0,false,0.7836462422991108,0.0017623037473795615,20,0.75
16,12,1,0.1,2.0,true,0.9975243832513139,9.5667001400184e-5,20,0.75
16,12,1,0.31622776601683794,2.0,false,0.7824194789948733,0.001842339849301646,20,0.75
16,12,1,0.31622776601683794,2.0,true,0.9977664706924159,8.545466826293095e-5,20,0.75
16,12,1,0.5623413251903491,2.0,false,0.7762955583371742,0.00202743104920091,20,0.75
16,12,1,0.5623413251903491,2.0,true,0.9978582018604805,7.2922383006109e-5,20,0.75
16,12,1,1.0,2.0,false,0.7596237902200701,0.0019889145412489108,20,0.75
16,12,1,1.0,2.0,true,0.997665150935366,5.9767764699326483e-5,20,0.75
16,12,1,1.7782794100389228,2.0,false,0.700565337332655,0.0017197018447126708,20,0.75
16,12,1,1.7782794100389228,2.0,true,0.9942558285799477,7.038751728761505e-5,20,0.75
16,12,1,10.0,2.0,false,0.3248149665458423,0.002143719247811535,20,0.75
16,12,1,10.0,2.0,true,0.9278717950946417,0.0006014357862124748,20,0.75
16,12,1,100.0,2.0,false,0.23896138739916545,0.0012862181459348248,20,0.75
16,12,1,100.0,2.0,true,0.9206672040349485,0.0006266067883497239,20,0.75
16,12,1,17.78279410038923,2.0,false,0.28251645275529613,0.001746494280252984,20,0.75
16,12,1,17.78279410038923,2.0,true,0.9234917659034629,0.000620159184209353,20,0.75
16,12,1,3.1622776601683795,2.0,false,0.5706195856552843,0.0018829596496671007,20,0.75
16,12,1,3.1622776601683795,2.0,true,0.978765722377325,8.556094879485162e-5,20,0.75
16,12,1,31.622776601683793,2.0,false,0.2587506025431814,0.001469664552817881,20,0.75
16,12,1,31.622776601683793,2.0,true,0.9216291333989582,0.0006296726334966308,20,0.75
16,12,1,5.623413251903491,2.0,false,0.41075739860603244,0.002040670329605964,20,0.75
16,12,1,5.623413251903491,2.0,true,0.9458710027450102,0.00030614914544678995,20,0.75
16,12,1,56.23413251903491,2.0,false,0.24591837926987253,0.0013315871402096566,20,0.75
16,12,1,56.23413251903491,2.0,true,0.9208659138290027,0.0006326787543776227,20,0.75
